"","id","family","a_key","b_key","c_key","convergence","pdHess","N","npar","loglik","AIC","AICc","BIC","SD_est","dAIC","dAICc","dBIC"
"32",89,2,3,2,3,0,1,105,9,-253.136700763489,524.273401526978,526.168138369083,548.159044678395,TRUE,16.3651357772065,9.03665186029502,18.3638170248805
"33",125,2,4,4,4,0,1,105,4,-258.890269181172,525.780538362345,526.180538362345,536.396379762975,TRUE,17.8722726125738,9.04905185355699,6.60115210946014
"34",105,2,4,0,4,0,1,105,21,-236.778779214256,515.557558428513,526.690088548995,571.290725781821,TRUE,7.64929267874169,9.55860204020678,41.4954981283059
"35",34,2,3,1,1,0,1,105,6,-256.975850674532,525.951701349064,526.808844206207,541.875463450009,TRUE,18.0434355992932,9.67735769741932,12.0802357964947
"36",27,2,1,0,1,0,1,105,21,-236.946471664623,515.892943329247,527.025473449729,571.626110682555,TRUE,7.98467757947566,9.89398694094075,41.83088302904
"37",38,2,2,2,1,0,1,105,6,-257.171362025239,526.342724050479,527.199866907621,542.266486151424,TRUE,18.4344583007075,10.0683803988336,12.4712584979089
"38",87,2,1,2,3,0,1,105,7,-256.067161295813,526.134322591626,527.288961766884,544.712045042729,TRUE,18.2260568418554,10.1574752580964,14.9168173892143
"39",85,2,4,1,3,0,1,105,6,-257.2807768522,526.561553704399,527.418696561542,542.485315805344,TRUE,18.6532879546282,10.2872100527543,12.6900881518296
"40",35,2,4,1,1,0,1,105,4,-259.700608736335,527.401217472669,527.801217472669,538.017058873299,TRUE,19.4929517228981,10.6697309638813,8.22183121978446
"41",67,2,1,3,2,0,1,105,7,-256.403188296595,526.806376593189,527.961015768447,545.384099044292,TRUE,18.898110843418,10.829529259659,15.5888713907769
"42",103,2,2,0,4,0,1,105,22,-236.044773267818,516.089546535636,528.43100995027,574.476674239101,TRUE,8.18128078586489,11.2995234414823,44.6814465855867
"43",69,2,3,3,2,0,1,105,9,-254.307713546321,526.615427092642,528.510163934748,550.50107024406,TRUE,18.7071613428712,11.3786774259597,20.7058425905452
"44",92,2,1,3,3,0,1,105,8,-255.841537599012,527.683075198024,529.183075198024,548.914757999284,TRUE,19.7748094482529,12.0515886892362,19.1195303457694
"45",122,2,1,4,4,0,1,105,4,-260.423471320408,528.846942640816,529.246942640816,539.462784041446,TRUE,20.9386768910446,12.1154561320278,9.66755638793097
"46",104,2,3,0,4,0,1,105,23,-235.001304318904,516.002608637809,529.632238267439,577.043696691432,TRUE,8.09434288803783,12.5007517586507,47.2484690379171
"47",65,2,4,2,2,0,1,105,6,-258.539161109227,529.078322218453,529.935465075596,545.002084319398,TRUE,21.1700564686823,12.8039785668084,15.2068566658837
"48",53,2,2,0,2,0,1,105,23,-235.163076936185,516.32615387237,529.955783502,577.367241925993,TRUE,8.41788812259921,12.8242969932121,47.5720142724786
"49",79,2,3,0,3,0,1,105,25,-231.766827244968,513.533654489937,529.989350692468,579.882663243875,TRUE,5.62538874016565,12.8578641836805,50.08743559036
"50",40,2,4,2,1,0,1,105,5,-259.700608759491,529.401217518983,530.007278125043,542.67101926977,TRUE,21.4929517692117,12.8757916162556,12.8757916162556
"51",54,2,3,0,2,0,1,105,24,-233.523480147623,515.046960295246,530.046960295246,578.742008699026,TRUE,7.13869454547472,12.9154737864579,48.9467810455114
"52",94,2,3,3,3,0,1,105,10,-253.988270679026,527.976541358052,530.316966889967,554.516144859627,TRUE,20.068275608281,13.1854803811791,24.7209172061125
"53",90,2,4,2,3,0,1,105,7,-257.822118949591,529.644237899181,530.798877074439,548.221960350284,TRUE,21.7359721494101,13.6673905656511,18.426732696769
"54",50,2,4,4,1,0,1,105,4,-261.372844975669,530.745689951337,531.145689951337,541.361531351968,TRUE,22.8374242015664,14.0142034425496,11.5663036984528
"55",70,2,4,3,2,0,1,105,7,-258.17258424856,530.34516849712,531.499807672378,548.922890948223,TRUE,22.4369027473492,14.3683211635902,19.1276632947081
"56",107,2,1,1,4,0,1,105,4,-261.559950505269,531.119901010537,531.519901010537,541.735742411168,TRUE,23.2116352607664,14.3884145017496,11.9405147576527
"57",57,2,1,1,2,0,1,105,5,-261.195790677645,532.391581355291,532.997641961351,545.661383106078,TRUE,24.4833156055197,15.8661554525636,15.8661554525636
"58",78,2,2,0,3,0,1,105,24,-235.159210698545,518.318421397091,533.318421397091,582.013469800871,TRUE,10.4101556473195,16.1869348883027,52.2182421473565
"59",82,2,1,1,3,0,1,105,6,-260.70575793452,533.41151586904,534.268658726183,549.335277969985,TRUE,25.503250119269,17.1371722173951,19.5400503164705
"60",29,2,3,0,1,0,1,105,23,-238.458690207568,522.917380415136,536.547010044766,583.958468468759,TRUE,15.009114665365,19.4155235359779,54.1632408152443
"61",30,2,4,0,1,0,1,105,21,-241.970725368474,525.941450736947,537.073980857429,581.674618090255,TRUE,18.0331849871764,19.9424943486415,51.8793904367407
"62",47,2,1,4,1,0,1,105,4,-266.945894939952,541.891789879904,542.291789879904,552.507631280534,TRUE,33.9835241301328,25.160303371116,22.7124036270192
