"Age","Year","naa","baa","ssb","faa","caa","retro_year","Model"
3,1993,9055.39801874656,25974.935048968,25974.935048968,1.44869905773204,6114.384671,6,"Nominal-mean"
0,1994,243889.77521776,40088.8189038181,0,0.515790791125247,86732.39694,6,"Nominal-mean"
1,1994,138438.353115317,142658.231271855,0,1.49482001438126,94769.71637,6,"Nominal-mean"
2,1994,34369.8631536387,56289.7185088601,28144.85925443,1.24208279306603,21572.16137,6,"Nominal-mean"
3,1994,6683.68241348429,19171.7930254175,19171.7930254175,1.24208279306603,4194.99708,6,"Nominal-mean"
0,1995,135723.475020243,22309.2329566721,0,0.607402260771378,54526.1181,6,"Nominal-mean"
1,1995,113400.476269413,116857.149813858,0,1.46497867656864,76949.81445,6,"Nominal-mean"
2,1995,24181.916657979,39604.268297421,19802.1341487105,0.966836915045424,13225.02839,6,"Nominal-mean"
3,1995,9233.09591500153,26484.6521595805,26484.6521595805,0.966836915045424,5049.556548,6,"Nominal-mean"
0,1996,156845.437781833,25781.1068361184,0,0.722043584686825,71179.04524,6,"Nominal-mean"
1,1996,57582.4182937255,59337.6456833197,0,1.10700285386283,34019.06844,6,"Nominal-mean"
2,1996,20408.4068127047,33424.1503833229,16712.0751916614,0.904560485350667,10721.20953,6,"Nominal-mean"
3,1996,9896.37335437401,28387.2287632239,28387.2287632239,0.904560485350667,5198.891481,6,"Nominal-mean"
0,1997,359672.622814352,59120.3572506956,0,0.961720867596431,196084.9181,6,"Nominal-mean"
1,1997,59336.0628124399,61144.7447977608,0,1.22424600394781,36969.99269,6,"Nominal-mean"
2,1997,14823.5099311853,24277.4083099999,12138.704155,0.944251139406062,7993.30236,6,"Nominal-mean"
3,1997,9551.94669388627,27399.258922828,27399.258922828,0.944251139406062,5150.709812,6,"Nominal-mean"
0,1998,136984.979517602,22516.5898468731,0,0.63594228778366,56885.88181,6,"Nominal-mean"
1,1998,107068.987430359,110332.664519349,0,1.80243534524529,78907.27101,6,"Nominal-mean"
2,1998,13585.0681452021,22249.1331547868,11124.5665773934,0.894860699370861,7089.391284,6,"Nominal-mean"
3,1998,7384.07467800454,21180.8315615537,21180.8315615537,0.894860699370861,3853.392129,6,"Nominal-mean"
0,1999,1143658.697181,187986.258784854,0,0.584357611360467,446640.7816,6,"Nominal-mean"
1,1999,56482.3948192106,58204.0912910546,0,1.34056853516943,36801.11845,6,"Nominal-mean"
