"","model","sample_id","rmse","mae","mad","ls"
"summary",1,21,0.197517815971859,0.197517815971859,0.197517815971859,4.62830662865448
"summary",2,21,2.42930250788592,2.42930250788592,2.42930250788592,7.23260287875033
"summary",1,22,0.0191582290374405,0.0191582290374405,0.0191582290374405,3.43256068676062
"summary",2,22,0.0508949599739663,0.0508949599739663,0.0508949599739663,3.18554126088209
"summary",1,23,0.601691079305099,0.601691079305099,0.601691079305099,3.21906940759999
"summary",2,23,0.913212851798119,0.913212851798119,0.913212851798119,3.21514300340269
"summary",1,24,0.597128265675649,0.597128265675649,0.597128265675649,1.67721810677558
"summary",2,24,0.118274468442845,0.118274468442845,0.118274468442845,1.35197864541542
"summary",1,25,1.33290341796114,1.33290341796114,1.33290341796114,3.28344584228098
"summary",2,25,0.947987065395537,0.947987065395537,0.947987065395537,2.6337913849451
"summary",1,26,1.02372532258498,1.02372532258498,1.02372532258498,0.524006768050862
"summary",2,26,0.720297526032996,0.720297526032996,0.720297526032996,0.259414263004627
"summary",1,27,0.879855706335432,0.879855706335432,0.879855706335432,0.387073031985511
"summary",2,27,0.580830279580201,0.580830279580201,0.580830279580201,0.168681906838607
"summary",1,28,0.38641731476301,0.38641731476301,0.38641731476301,1.56875958936748
"summary",2,28,0.155656254580989,0.155656254580989,0.155656254580989,1.35721061494507
"summary",1,29,0.177088173712469,0.177088173712469,0.177088173712469,3.20719441314765
"summary",2,29,0.427804719219421,0.427804719219421,0.427804719219421,3.04002942406717
"summary",1,30,1.41503568270803,1.41503568270803,1.41503568270803,5.08271140546205
"summary",2,30,2.46617739831335,2.46617739831335,2.46617739831335,6.86331561159622
"summary",1,31,2.23262025904629,2.23262025904629,2.23262025904629,5.65597202569206
"summary",2,31,2.83193177632193,2.83193177632193,2.83193177632193,6.93839621801516
"summary",1,32,0.716475582303582,0.716475582303582,0.716475582303582,0.256668630018628
"summary",2,32,0.961767504419362,0.961767504419362,0.961767504419362,0.462498366278524
"summary",1,33,1.3451491349379,1.3451491349379,1.3451491349379,5.91439122205908
"summary",2,33,0.0867625341583594,0.0867625341583594,0.0867625341583594,4.75276947851511
"summary",1,34,0.781419739462291,0.781419739462291,0.781419739462291,0.305308404610657
"summary",2,34,1.34183220253255,1.34183220253255,1.34183220253255,0.900256829876672
"summary",1,35,1.87803077046999,1.87803077046999,1.87803077046999,7.44298185455596
"summary",2,35,1.20990450088108,1.20990450088108,1.20990450088108,6.15642353263433
"summary",1,36,1.46143006074264,1.46143006074264,1.46143006074264,5.76364660143305
"summary",2,36,1.67549851315939,1.67549851315939,1.67549851315939,5.82152741019673
"summary",1,37,0.86303856487081,0.86303856487081,0.86303856487081,3.55598542603681
"summary",2,37,0.158608979481119,0.158608979481119,0.158608979481119,2.96199092384641
"summary",1,38,1.29374884179135,1.29374884179135,1.29374884179135,2.32206168850885
"summary",2,38,1.10247311334203,1.10247311334203,1.10247311334203,1.94854598554449
"summary",1,39,1.04232278505666,1.04232278505666,1.04232278505666,2.03719823820616
"summary",2,39,0.400927920734565,0.400927920734565,0.400927920734565,1.42515049692723
"summary",1,40,0.670361811241319,0.670361811241319,0.670361811241319,2.27329650437735
"summary",2,40,0.519091944707397,0.519091944707397,0.519091944707397,1.99040897764276
"summary",1,41,0.148655995967025,0.148655995967025,0.148655995967025,4.17055002081747
"summary",2,41,3.27236685330617,3.27236685330617,3.27236685330617,9.20352560250441
"summary",1,42,1.92787028507007,1.92787028507007,1.92787028507007,1.85834191802808
"summary",2,42,1.84346314534238,1.84346314534238,1.84346314534238,1.69917818411781
"summary",1,43,1.30143980253859,1.30143980253859,1.30143980253859,2.88171628059333
"summary",2,43,1.59104562589247,1.59104562589247,1.59104562589247,3.10224902625894
"summary",1,44,0.000505683266921754,0.000505683266921754,0.000505683266921754,1.27857783222329e-07
"summary",2,44,0.0572394462488778,0.0572394462488778,0.0572394462488778,0.00163817710343909
"summary",1,45,0.786411230423357,0.786411230423357,0.786411230423357,0.309221311667989
"summary",2,45,1.47157223913395,1.47157223913395,1.47157223913395,1.08276242749485
"summary",1,46,0.219672818117707,0.219672818117707,0.219672818117707,0.0241280735098875
"summary",2,46,0.40837038660782,0.40837038660782,0.40837038660782,0.0833831863291104
"summary",1,47,0.555733199192107,0.555733199192107,0.555733199192107,3.57276644659811
"summary",2,47,0.893432050546297,0.893432050546297,0.893432050546297,3.57609327586119
"summary",1,48,1.24939001732582,1.24939001732582,1.24939001732582,0.780487707696705
"summary",2,48,0.000105482586441782,0.000105482586441782,0.000105482586441782,5.56328802122399e-09
"summary",1,49,1.71695331987417,1.71695331987417,1.71695331987417,1.47396435131348
"summary",2,49,0.000142360403239317,0.000142360403239317,0.000142360403239317,1.01332422052304e-08
"summary",1,50,2.29907487908977,2.29907487908977,2.29907487908977,2.64287264983082
"summary",2,50,2.92098100880787,2.92098100880787,2.92098100880787,4.26606502690811
"summary",1,51,0.810773187044347,0.810773187044347,0.810773187044347,1.82159653493544
"summary",2,51,1.27049319753317,1.27049319753317,1.27049319753317,2.14162927952705
"summary",1,52,1.25924697305918,1.25924697305918,1.25924697305918,2.27681383562228
"summary",2,52,1.55046330615112,1.55046330615112,1.55046330615112,2.53887573059639
"summary",1,53,0.454231627447185,0.454231627447185,0.454231627447185,4.60571713320577
"summary",2,53,0.983844986538448,0.983844986538448,0.983844986538448,4.71821143338148
"summary",1,54,2.63400609163023,2.63400609163023,2.63400609163023,3.46899404537259
"summary",2,54,3.08366111101843,3.08366111101843,3.08366111101843,4.75448292380372
"summary",1,55,0.693659359296259,0.693659359296259,0.693659359296259,1.73466651312177
"summary",2,55,0.658029942737589,0.658029942737589,0.658029942737589,1.5609842454792
"summary",1,56,2.55251046863744,2.55251046863744,2.55251046863744,4.74361906634413
"summary",2,56,0.8163889119091,0.8163889119091,0.8163889119091,1.67559263336143
"summary",1,57,1.15457347039077,1.15457347039077,1.15457347039077,0.666519949265089
